location,sclaer,selection,reduction,classification,roc_auc,accuracy,best_roc_auc,best_accuracy,roc_auc std,accuracy std,
,minMax,f classif,,lda,0.8647996052630533,0.8462962143015276,0.8863042219327882,0.8614124418862077,0.016463334164035903,0.010570273981631588,
,minMax,f classif,,Nearest centroid,0.7716006198804516,0.794553907460704,0.018626026160717516,,,,
,minMax,f classif,,Random forest,0.8616138743044438,0.847527169838963,0.8738267533763342,0.8513549415515409,0.012587581859352668,0.0038936092370346594,
,minMax,f classif,,Decision Tree,0.8438160261412794,0.8433739207438565,0.8586348181833171,0.8594642461810936,0.011649823507394947,0.010499073375891888,
,minMax,f classif,,GaussianNB,0.8232243171233662,0.8124684525127297,0.8578416896234902,0.8370157183971663,0.025587214349133656,0.019771324938620497,
,minMax,f classif,,Kneighbors,0.7773002341275946,0.8221917201682534,0.7852506135453041,0.8335620987381005,0.007241075002957138,0.009879800543754196,
,minMax,chi squared,,lda,0.8599658615770049,0.843205667478415,0.8858112955422146,0.8618109364622537,0.017860183604775204,0.01190657284711228,
,minMax,chi squared,,Nearest centroid,0.7718485720611025,0.7949524020367501,0.018961022891453155,,,,
,minMax,chi squared,,Random forest,0.8621927465412254,0.8461457168766783,0.8761651717234263,0.8492295430393199,0.013934145817267261,0.0038625185899781008,
,minMax,chi squared,,Decision Tree,0.8435339770397714,0.8427628957272526,0.8606632094454231,0.8584015939783042,0.012900555581928402,0.009739907764120936,
,minMax,chi squared,,GaussianNB,0.8237372311186402,0.8137259242860306,0.8589244443507009,0.836572946646004,0.025665193859483983,0.018889205442594006,"kfold 5, k=3"
,minMax,chi squared,,Kneighbors,0.7771703887878674,0.8173655080805846,0.7789293676495743,0.8250166039406686,0.007600767688094689,0.007169424947708135,
,minMax,kruskal,,lda,0.86132407626862,0.8453309718839938,0.8827383376882443,0.8606154527341155,0.016408937561883198,0.010348719162232052,
,minMax,kruskal,,Nearest centroid,0.7380827983174674,0.8089882665485942,0.0514634930156225,,,,
,minMax,kruskal,,Random forest,0.8562986422084764,0.8444454925645088,0.8702252114404526,0.8499380092100602,0.012407539354761216,0.0046811277771498785,
,minMax,kruskal,,Decision Tree,0.8413939813368285,0.8390170467124198,0.8581166895322253,0.8560991808722603,0.013738068499031567,0.009496784204620532,
,minMax,kruskal,,GaussianNB,0.8331005709979988,0.8200044277175117,0.8704054787817486,0.8532211644897055,0.02708868447210366,0.02654116440118402,
,minMax,kruskal,,Kneighbors,0.7713573891641866,0.8174363515607703,0.7837020136731419,0.8324551693601948,0.01020491662996211,0.011283902344601292,
,minMax,pearson correlation,,lda,0.8500219159766622,0.8407350011069294,0.8755263037275509,0.8579588222271419,0.017995035604280733,0.011999294178002782,
,minMax,pearson correlation,,Nearest centroid,0.7674297099845031,0.7913659508523356,0.019541069978074317,,,,
,minMax,pearson correlation,,Random forest,0.8366304336931135,0.8373168708942051,0.8540971031964747,0.8432075805880269,0.014460196122117889,0.005886966152798129,
,minMax,pearson correlation,,Decision Tree,0.8410956552360342,0.8406553021917201,0.8580572599176592,0.8551693601948196,0.013746360122660607,0.010107011794139207,
,minMax,pearson correlation,,GaussianNB,0.825891006152099,0.8155589993358424,0.8557112784178005,0.8359530661943768,0.023868906323026844,0.016548403318058333,
,minMax,pearson correlation,,Kneighbors,0.763041931513922,0.8140004427717512,0.767720457981801,0.8268762452955501,0.007237644915629475,0.009078846623524862,
,Standard,f classif,,lda,0.8647996052630533,0.8462962143015276,0.8863042219327882,0.8614124418862077,0.016463334164035903,0.010570273981631588,
,Standard,f classif,,Nearest centroid,0.7760194819570512,0.8170024352446313,0.034714091427983054,,,,
,Standard,f classif,,Random forest,0.861295749773278,0.8485455303601261,0.8756073527261836,0.8517534537725824,0.01337021665256902,0.004108679297293387,
,Standard,f classif,,Decision Tree,0.8438180613137842,0.8433650653088334,0.8586348181833171,0.8594642461810936,0.011647862545391855,0.010502209933395004,
,Standard,f classif,,GaussianNB,0.8232242010816424,0.8124684525127297,0.8578418745394847,0.8370157183971663,0.02558779788045157,0.019771324938620497,
,Standard,f classif,,Kneighbors,0.7765847767947875,0.8204383440336507,0.7892188988536474,0.8343590878901926,0.009278174380007605,0.01091263417704269,
,Standard,kruskal,,lda,0.8326687850504648,0.8268762452955501,0.8619736673420436,0.8444100066415763,0.0273829315746637,0.013570271579603407,
,Standard,kruskal,,Nearest centroid,0.7313703785698472,0.761655966349347,0.03395782804290965,,,,
,Standard,kruskal,,Random forest,0.8273786879541156,0.8281160680118603,0.8390231431927488,0.8278427205100957,0.01888514447208283,0.006655770250774733,
,Standard,kruskal,,Decision Tree,0.779685071021422,0.8045428381669251,0.800628919577839,0.8235111799867169,0.028466267799144122,0.011366653711353859,
,Standard,kruskal,,GaussianNB,0.7711802841501568,0.7916404693380563,0.8120603249420206,0.8135488155855657,0.03390408972475349,0.01679459341986544,
,Standard,kruskal,,Kneighbors,0.7226060236091207,0.7914102280274518,0.7407630523909006,0.8062873588665043,0.017528551139863728,0.013839092981962384,
,Standard,pearson correlation,,lda,0.8500219159766622,0.8407350011069294,0.8755263037275509,0.8579588222271419,0.017995035604280733,0.011999294178002782,
,Standard,pearson correlation,,Nearest centroid,0.7833252158512287,0.8137259242860305,0.024848035083948995,,,,
,Standard,pearson correlation,,Random forest,0.836516283963719,0.837423136114866,0.8535572928468618,0.8436946510804109,0.01445082255065619,0.005455993439114505,
,Standard,pearson correlation,,Decision Tree,0.8411002711259654,0.8406553021917201,0.8580572599176592,0.8551693601948196,0.013744062020999257,0.010107011794139207,
,Standard,pearson correlation,,GaussianNB,0.8258909872132556,0.8155589993358424,0.8557116780749495,0.8359530661943768,0.02386960179494811,0.016548403318058333,
,Standard,pearson correlation,,Kneighbors,0.7630089118562748,0.8130086340491477,0.7715104783065742,0.8281160061988045,0.006838642806097277,0.009509244701450899,
,minMax,,pca,lda,0.8397737193096232,0.8329776400265663,0.8723559488298551,0.8553464688952844,0.022506174797056973,0.014885388348994609,
,minMax,,pca,Nearest centroid,0.7711224263891963,0.7941111357095417,0.018877419779836434,,,,
,minMax,,pca,Random forest,0.8444430900853916,0.8348285446228683,0.8656494118999847,0.8435618136733971,0.017334494468260162,0.007074478994157434,
,minMax,,pca,Decision Tree,0.8251419455713348,0.8339340270090767,0.8543384382157366,0.853486827540403,0.02088399770131462,0.0133653306245384,
,minMax,,pca,GaussianNB,0.82830507950129,0.8235997343369494,0.858856102978214,0.8450298870932035,0.02418216333053447,0.017537808438904394,
,minMax,,pca,Kneighbors,0.758629488989085,0.8093159176444542,0.772452398626487,0.8261678104936905,0.011960481879550282,0.012124012279124645,
,minMax,,lda,lda,0.8665058082308386,0.8472171795439453,0.8876916168131157,0.8618552136373699,0.016825648654867784,0.010691470034401959,
,minMax,,lda,Nearest centroid,0.8097321230905468,0.8309497454062431,0.021245689082299193,,,,
,minMax,,lda,Random forest,0.7855142742557403,0.7778350537731197,0.8009655954905529,0.7906925256818987,0.011822786942457966,0.010870749048269825,
,minMax,,lda,Decision Tree,0.8646664239462772,0.8458711534204119,0.8856809238011771,0.8615009962364402,0.016860550330670118,0.010390938929269015,
,minMax,,lda,GaussianNB,0.8665057104302287,0.8475094088997122,0.8876916168131157,0.8622094310382997,0.01682555440441005,0.010470367691017174,
,minMax,,lda,Kneighbors,0.7701468850968075,0.8155855656409121,0.7857275417198519,0.8317467345583351,0.010085013940912237,0.011055896253571812,
,Standard,,pca,lda,0.8358692535753034,0.8303564312596856,0.8701341294726437,0.8501217622315697,0.0247156942905217,0.014451261442784833,
,Standard,,pca,Nearest centroid,0.7713615231348239,0.8145671906132389,0.034889822875054294,,,,
,Standard,,pca,Random forest,0.8419458792698759,0.8343768652872032,0.865376326220649,0.839311016648955,0.019212755941514146,0.006715308894386705,
,Standard,,pca,Decision Tree,0.8209214688921552,0.8207128625193713,0.8529724578005596,0.8430374142129732,0.02481160074140404,0.012968886629698143,
,Standard,,pca,GaussianNB,0.809779435006727,0.8059419969005978,0.845819197300904,0.8309497454062431,0.03072931671477645,0.02051973408762457,
,Standard,,pca,Kneighbors,0.7526412390689152,0.8045959707770646,0.7645955745236153,0.8187735222492805,0.01367831787681077,0.010915105898149693,
,Standard,,lda,lda,0.8665058082308386,0.8472171795439453,0.8876916168131157,0.8618552136373699,0.016825648654867784,0.010691470034401959,
,Standard,,lda,Nearest centroid,0.8097321230905468,0.8309497454062431,0.021245689082299193,,,,
,Standard,,lda,Random forest,0.785382961970676,0.7779058941164869,0.8014531989525925,0.790426850867871,0.012295801387484212,0.010861079416239757,
,Standard,,lda,Decision Tree,0.8646664239462772,0.8458711534204119,0.8856809238011771,0.8615009962364402,0.016860550330670118,0.010390938929269015,
,Standard,,lda,GaussianNB,0.8665057104302287,0.8475094088997122,0.8876916168131157,0.8622094310382997,0.01682555440441005,0.010470367691017174,
,Standard,,lda,Kneighbors,0.7701468850968075,0.8155855656409121,0.7857275417198519,0.8317467345583351,0.010085013940912237,0.011055896253571812,
,standart,,pca,svc,0.8051768238799234,0.8372725260128403,0.8159090411824144,0.8493690502545937,0.012672297110788796,0.008553561824061386,
,standart,,lda,svc,0.7653606339409669,0.8472348904139917,0.7868240697061242,0.8614567190613239,0.011921526537729177,0.009789938744575568,
,minMax,,pca,svc,0.8295942442397178,0.8310825769315917,0.8359185384678833,0.8434801859641355,0.01312793895283978,0.008608967730881682,
,minMax,,lda,svc,0.7638047658198344,0.8472348904139917,0.7834724255535962,0.8614567190613239,0.011049232507684355,0.009789137698319073,
,minMax,f classif,,svc,0.8592266961567292,0.845738321895063,0.8665302718339084,0.8577374363515607,0.01159742029562601,0.007497264627571365,
,minMax,chi squared,,svc,0.8522999995425108,0.8429842816028337,0.8570720692550723,0.8557892406464468,0.011475190343312071,0.008252932881074294,
,minMax,kruskal,,svc,0.8595723541675209,0.8456232012397609,0.8699960509101649,0.8569404471994687,0.013572054180157384,0.006725969607277867,
,minMax,pearson correlation,,svc,0.8355033849099522,0.8411334956829755,0.8397164982503488,0.8538410449413327,0.012228308161609972,0.008326087028683123,
,Standard,f classif,,svc,0.8241999001913193,0.8493247730794776,0.8238642704194321,0.8603497896834182,0.0013685797984133686,0.007038706194500841,
,Standard,kruskal,,svc,0.8032649210637188,0.8304184193048483,0.8071147705336863,0.8452955501439008,0.014083715919446498,0.010837511339561302,
,minMax,f classif,,lda,0.8640336491828045,0.8465000693692082,0.9013983084737918,0.8752213956783563,0.02443973759359461,0.022341467455304135,
,minMax,f classif,,Nearest centroid,0.7718135505933648,0.8183669854764435,0.025401724019396433,,,,
,minMax,f classif,,Random forest,0.864451871282457,0.8478727552891918,0.8971961613534336,0.8586484810911346,0.01984893189282593,0.009629653827554499,
,minMax,f classif,,Decision Tree,0.8444885097225084,0.8422227950449024,0.8801741433805623,0.8739815798795607,0.022343310255685145,0.022023522545771175,
,minMax,f classif,,GaussianNB,0.822114325509917,0.8131684894786689,0.8604126217670375,0.8451115834218916,0.02714715300107852,0.02280535310353375,
,minMax,f classif,,Kneighbors,0.7789406478874882,0.8232101920885603,0.8063637963844236,0.8481225646475381,0.01678070281783691,0.023056469740730345,
,minMax,chi squared,,lda,0.8598851621086852,0.8428251496958655,0.8978879217201244,0.872387530995395,0.02705912837451634,0.02408574018200727,
,minMax,chi squared,,Nearest centroid,0.7721943597861979,0.8186326602904711,0.02559600266640306,,,,
,minMax,chi squared,,Random forest,0.8652359074100172,0.846464636421925,0.8975898605290535,0.8543087414755115,0.020088614584930605,0.008815546878445492,
,minMax,chi squared,,Decision Tree,0.8441236224760583,0.8411424241280756,0.8803487086647719,0.869465108041091,0.02292774423445945,0.020920451546405875,
,minMax,chi squared,,GaussianNB,0.8226906381938758,0.8141690881586181,0.8610954855408691,0.8443145589798087,0.02737518771202752,0.022405814795495662,
,minMax,chi squared,,Kneighbors,0.778467878759437,0.8189329044330703,0.7946819681296318,0.8348388239461566,0.014852439789920577,0.021233488677335523,
,minMax,kruskal,,lda,0.8604413923726847,0.8452425772045723,0.8996836093666214,0.8722989727240524,0.026312136256793784,0.02377336148770843,
,minMax,kruskal,,Nearest centroid,0.7392972118157954,0.8224406659582005,0.055663466007230024,,,,
,minMax,kruskal,,Random forest,0.8591216058746722,0.8445962403996197,0.8910106037221059,0.8563457621114162,0.021602074739742676,0.01008950319367201,
,minMax,kruskal,,Decision Tree,0.8434481822316698,0.8402480004870745,0.8776289142230134,0.8738930216082182,0.022713160756416505,0.02253651167492013,"kfold 10, k=3"
,minMax,kruskal,,GaussianNB,0.8324451153420652,0.8201025974196663,0.8627751496843646,0.8503365214311016,0.028093718562670067,0.03005557384491897,
,minMax,kruskal,,Kneighbors,0.7739175581709282,0.8181625941154145,0.80795743670637,0.8435175345377258,0.020105048606998337,0.025463901925671873,
,minMax,pearson correlation,,lda,0.849845397498898,0.8406821093220455,0.8910943189454825,0.8713248317392844,0.024108772071843327,0.022519338674196455,
,minMax,pearson correlation,,Nearest centroid,0.767394705368129,0.8156216790648246,0.025896147568181895,,,,
,minMax,pearson correlation,,Random forest,0.8385556679019027,0.8379546939082809,0.8815910495869911,0.8499690018598884,0.02114087171554884,0.009366685164515678,
,minMax,pearson correlation,,Decision Tree,0.8404953196635742,0.8413283039637939,0.8766721310962758,0.8684024087849805,0.02095604750203556,0.020172853952367245,
,minMax,pearson correlation,,GaussianNB,0.8244961922521241,0.8159666822657204,0.8649627147952015,0.8498051718030464,0.026539132303432283,0.023491833506098903,
,minMax,pearson correlation,,Kneighbors,0.7643653046316203,0.8155235889968987,0.7955539465031476,0.8467941905773999,0.01629322690206848,0.024072101444568207,
,standard,f classif,,lda,0.8640336491828045,0.8465000693692082,0.9013983084737918,0.8752213956783563,0.02443973759359461,0.022341467455304135,
,standard,f classif,,Nearest centroid,0.7767554581553111,0.8217321997874601,0.03758205011166314,,,,
,standard,f classif,,Random forest,0.8642602040546207,0.8474033125362294,0.8974420698159872,0.8543087414755115,0.019664409861203044,0.008080664120619344,
,standard,f classif,,Decision Tree,0.8444882668068994,0.8422139400019553,0.8801741433805623,0.8739815798795607,0.022343199015385454,0.02201720811683696,
,standard,f classif,,GaussianNB,0.8221139881070807,0.8131684894786689,0.8604122772477275,0.8451115834218916,0.027147408652369674,0.02280535310353375,
,standard,f classif,,Kneighbors,0.7792904073697432,0.8218465288059127,0.8105335665958742,0.8477683315621679,0.018036789442710845,0.023595894333561077,
,standard,kruskal,,lda,0.8313449719147007,0.826743633395074,0.8781905867041943,0.8568012752391073,0.03711822137181073,0.02787173336923955,
,standard,kruskal,,Nearest centroid,0.7330543438032062,0.7751505490612823,0.03873398347852047,,,,
,standard,kruskal,,Random forest,0.8322708061954296,0.8288956273812186,0.8838783940348777,0.8481091134531928,0.029942120246550373,0.015011723818569005,
